image_path,image_id,class_id,class_name,group,fold
/kaggle/input/aio-hutech/train\nấm mỡ\NM024.jpg,NM024,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM025.jpg,NM025,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM026.jpg,NM026,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM027.jpg,NM027,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM028.jpg,NM028,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM029.jpg,NM029,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM030.jpg,NM030,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM031.jpg,NM031,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM032.jpg,NM032,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM033.jpg,NM033,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM034.jpg,NM034,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM035.jpg,NM035,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM036.jpg,NM036,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM037.jpg,NM037,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM038.jpg,NM038,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM039.jpg,NM039,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM040.jpg,NM040,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM041.jpg,NM041,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM042.jpg,NM042,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM043.jpg,NM043,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM044.jpg,NM044,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM045.jpg,NM045,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM046.jpg,NM046,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM047.jpg,NM047,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM048.jpg,NM048,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM049.jpg,NM049,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM050.jpg,NM050,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM051.jpg,NM051,0,nấm mỡ,nm nen nau,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM052.jpg,NM052,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM053.jpg,NM053,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM054.jpg,NM054,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM055.jpg,NM055,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM056.jpg,NM056,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM057.jpg,NM057,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM058.jpg,NM058,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM059.jpg,NM059,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM060.jpg,NM060,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM061.jpg,NM061,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM062.jpg,NM062,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM063.jpg,NM063,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM064.jpg,NM064,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM065.jpg,NM065,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM066.jpg,NM066,0,nấm mỡ,nm nen xanh dam,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM067.jpg,NM067,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM068.jpg,NM068,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM069.jpg,NM069,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM070.jpg,NM070,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM071.jpg,NM071,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM072.jpg,NM072,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM073.jpg,NM073,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM074.jpg,NM074,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM075.jpg,NM075,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM076.jpg,NM076,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM077.jpg,NM077,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM078.jpg,NM078,0,nấm mỡ,nm nen trang,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM079.jpg,NM079,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM080.jpg,NM080,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM081.jpg,NM081,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM082.jpg,NM082,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM083.jpg,NM083,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM084.jpg,NM084,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM085.jpg,NM085,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM086.jpg,NM086,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM087.jpg,NM087,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM088.jpg,NM088,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM089.jpg,NM089,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM090.jpg,NM090,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM091.jpg,NM091,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM092.jpg,NM092,0,nấm mỡ,nm nen do nau,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM093.jpg,NM093,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM094.jpg,NM094,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM095.jpg,NM095,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM096.jpg,NM096,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM097.jpg,NM097,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM098.jpg,NM098,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM099.jpg,NM099,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM100.jpg,NM100,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM101.jpg,NM101,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM102.jpg,NM102,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM103.jpg,NM103,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM104.jpg,NM104,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM105.jpg,NM105,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM106.jpg,NM106,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM107.jpg,NM107,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM108.jpg,NM108,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM109.jpg,NM109,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM110.jpg,NM110,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM111.jpg,NM111,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM112.jpg,NM112,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM113.jpg,NM113,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM114.jpg,NM114,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM115.jpg,NM115,0,nấm mỡ,nm nen da,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM116.jpg,NM116,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM117.jpg,NM117,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM118.jpg,NM118,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM119.jpg,NM119,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM120.jpg,NM120,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM121.jpg,NM121,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM122.jpg,NM122,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM123.jpg,NM123,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM124.jpg,NM124,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM125.jpg,NM125,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM126.jpg,NM126,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM127.jpg,NM127,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM128.jpg,NM128,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM129.jpg,NM129,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM130.jpg,NM130,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM131.jpg,NM131,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM132.jpg,NM132,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM133.jpg,NM133,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM134.jpg,NM134,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM135.jpg,NM135,0,nấm mỡ,nm nen toi da,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM136.jpg,NM136,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM137.jpg,NM137,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM138.jpg,NM138,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM139.jpg,NM139,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM140.jpg,NM140,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM141.jpg,NM141,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM142.jpg,NM142,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM143.jpg,NM143,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM144.jpg,NM144,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM145.jpg,NM145,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM146.jpg,NM146,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM147.jpg,NM147,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM148.jpg,NM148,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM149.jpg,NM149,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM150.jpg,NM150,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM151.jpg,NM151,0,nấm mỡ,nm sang nen toi da,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM152.jpg,NM152,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM153.jpg,NM153,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM154.jpg,NM154,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM155.jpg,NM155,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM156.jpg,NM156,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM157.jpg,NM157,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM158.jpg,NM158,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM159.jpg,NM159,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM160.jpg,NM160,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM161.jpg,NM161,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM162.jpg,NM162,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM163.jpg,NM163,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM164.jpg,NM164,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM165.jpg,NM165,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM166.jpg,NM166,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM167.jpg,NM167,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM168.jpg,NM168,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM169.jpg,NM169,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM170.jpg,NM170,0,nấm mỡ,nm sang nen da,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM171.jpg,NM171,0,nấm mỡ,nm da vang nen men,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM172.jpg,NM172,0,nấm mỡ,nm da vang nen men,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM173.jpg,NM173,0,nấm mỡ,nm da vang nen men,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM174.jpg,NM174,0,nấm mỡ,nm da vang nen men,1
/kaggle/input/aio-hutech/train\nấm mỡ\NM175.jpg,NM175,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM176.jpg,NM176,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM177.jpg,NM177,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM178.jpg,NM178,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM179.jpg,NM179,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM180.jpg,NM180,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM181.jpg,NM181,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM182.jpg,NM182,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM183.jpg,NM183,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM184.jpg,NM184,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM185.jpg,NM185,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM186.jpg,NM186,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM187.jpg,NM187,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM188.jpg,NM188,0,nấm mỡ,nm dau  cam nen toi,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM189.jpg,NM189,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM190.jpg,NM190,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM191.jpg,NM191,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM192.jpg,NM192,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM193.jpg,NM193,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM194.jpg,NM194,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM195.jpg,NM195,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM196.jpg,NM196,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM197.jpg,NM197,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM198.jpg,NM198,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM199.jpg,NM199,0,nấm mỡ,nm dau cam nen xanh dương,4
/kaggle/input/aio-hutech/train\nấm mỡ\NM200.jpg,NM200,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM201.jpg,NM201,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM202.jpg,NM202,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM203.jpg,NM203,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM204.jpg,NM204,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM205.jpg,NM205,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM206.jpg,NM206,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM207.jpg,NM207,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM208.jpg,NM208,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM209.jpg,NM209,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM210.jpg,NM210,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM211.jpg,NM211,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM212.jpg,NM212,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM213.jpg,NM213,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM214.jpg,NM214,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM215.jpg,NM215,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM216.jpg,NM216,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM217.jpg,NM217,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM218.jpg,NM218,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM219.jpg,NM219,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM220.jpg,NM220,0,nấm mỡ,nm nen cam,0
/kaggle/input/aio-hutech/train\nấm mỡ\NM221.jpg,NM221,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM222.jpg,NM222,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM223.jpg,NM223,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM224.jpg,NM224,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM225.jpg,NM225,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM226.jpg,NM226,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM227.jpg,NM227,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM228.jpg,NM228,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM229.jpg,NM229,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM230.jpg,NM230,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM231.jpg,NM231,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM232.jpg,NM232,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM233.jpg,NM233,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM234.jpg,NM234,0,nấm mỡ,nm nen caro,5
/kaggle/input/aio-hutech/train\nấm mỡ\NM235.jpg,NM235,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM236.jpg,NM236,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM237.jpg,NM237,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM238.jpg,NM238,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM239.jpg,NM239,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM240.jpg,NM240,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM241.jpg,NM241,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM242.jpg,NM242,0,nấm mỡ,nm nen 4 mau,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM243.jpg,NM243,0,nấm mỡ,nm nen 4 mau,2
